level,cluster_id,title,description
1,4339,"High Value, Frequent Shoppers",This cluster represents customers with exceptionally high average basket size and order value. They purchase a notable quantity of total items per order. These customers exhibit high monetary value and a relatively recent purchase history.
1,4340,"UK Customers, Recent Buyers","This segment comprises a significant portion of customers from the United Kingdom. They tend to buy recently, but with lower frequency and average order value. Their purchasing behavior shows less exploration and is spread across different times and days."
1,4341,"Finnish Customers, Infrequent Buyers","This cluster is dominated by customers from Finland, who purchase infrequently and have a long recency. They explore less and have a wider purchase span and less frequent orders. This group also shows lower average order value and unique products per purchase."
1,4342,"Italian Customers, Diverse Purchasing","This segment is characterized by customers from Italy with a preference for purchasing during certain hours. They have a varied purchase span and day of the week. This group also shows lower frequency and unique products, with a moderate recency."
1,4343,"Norwegian Customers, High Order Value","This cluster represents customers from Norway with a high average order value and basket size. They tend to purchase recently and exhibit a lower exploration tendency. Their purchasing behavior is varied across hours and days, with longer periods between orders."
1,4344,"Spanish Customers, Regular Purchases","This cluster consists of Spanish customers who make purchases with relatively consistent intervals. They tend to explore less and buy at specific times of the day. Their recency is moderate, and they purchase at various points in the week. There's a lower frequency and fewer unique products."
1,4345,"Portuguese Customers, Late Hour Shoppers","This group is primarily composed of customers from Portugal who shop late at night. They have a recent purchase history and a longer purchase span between orders. Their exploration tendency is lower, and they buy with less frequency and fewer unique products."
1,4346,"Swiss Customers, High Value Shoppers","This segment represents Swiss customers with a high average order value and basket size. They show a lower exploration tendency and purchase at various times and days. Their recency is moderate, and they buy with lower frequency but with a higher number of unique products."
1,4347,"Belgian Customers, Moderate Purchasing",This cluster includes customers from Belgium with a moderate purchase span and a lower exploration tendency. They tend to buy at various times and days of the week. Their recency and purchase frequency are moderate. This group also shows less variation in days between orders and buys fewer unique products.
1,4348,"French Customers, Evening Shoppers",This segment comprises French customers who tend to shop in the evening. They exhibit a lower exploration tendency and purchase at various times during the week. Their average days between orders are also lower. This group tends to buy fewer unique products and has a moderate recency.
1,4349,"High Frequency, High Value Spenders",This cluster represents customers who are highly frequent buyers with a significant monetary value and total items per order. They also purchase a high number of unique products. These customers tend to buy in the 'Other' country category and have a high average order value.
1,4350,"German Customers, Lower Engagement",This segment consists of German customers who exhibit a lower exploration tendency and shop at specific times of day. Their recency and purchase frequency are moderate. This group tends to buy fewer unique products and has a moderate purchase span. They also buy less often from the 'UK' and 'France'.
1,4351,"Long Purchase Span, Frequent Buyers","This cluster represents customers with a long purchase span and higher frequency of orders. They also tend to buy from the United Kingdom. Their recency is moderate, and they have a longer average interval between orders. This group also shows more unique products per purchase and a wider purchase span."
1,4352,"High Frequency, High Item Buyers","This cluster is characterized by customers who purchase with high frequency, buying a large number of unique products and total items per order. They also have a high monetary value. These customers tend to be from the 'Other' country category and have a long purchase span."
1,4353,"Long Interval, Varied Purchasing","This segment represents customers with a long average interval between orders and a significant purchase span. They tend to have a recent purchase history and buy from the United Kingdom. This group shows lower frequency and monetary value, with moderate total items and unique products."
1,4354,"Recent Shoppers, Late Hour Buyers",This cluster consists of customers with a very recent purchase history who also tend to shop late at night. They have a long purchase span and a longer average interval between orders. This group buys with lower frequency and fewer unique products. They tend to buy from the United Kingdom.
1,4355,"Late Hour Shoppers, Extended Purchase Span",This segment represents customers who tend to shop late at night and have a long purchase span. They also have a longer average interval between orders and a recent purchase history. This group buys with lower frequency and fewer unique products. They tend to buy from the United Kingdom.
1,4356,"Extended Purchase Span, Frequent Buyers","This cluster represents customers with an extended purchase span and higher frequency of orders. They also tend to buy from the United Kingdom. Their recency is moderate, and they have a longer average interval between orders. This group also shows more unique products per purchase and a wider purchase span."
1,4357,"Late Hour Shoppers, Long Intervals",This segment comprises customers who tend to shop late at night and have a longer average interval between orders. They also have a longer purchase span and buy with lower frequency and fewer unique products. They tend to buy from the United Kingdom.
1,4358,"Recent Shoppers, Late Hour Buyers",This cluster consists of customers with a very recent purchase history who also tend to shop late at night. They have a long purchase span and a longer average interval between orders. This group buys with lower frequency and fewer unique products. They tend to buy from the United Kingdom.
1,4359,"Varied Day Shoppers, Extended Purchase Span",This cluster represents customers who exhibit a varied purchase day of the week and have an extended purchase span. They tend to buy from the United Kingdom and shop at specific hours. This group buys with lower frequency and fewer unique products. Their average interval between orders is also longer.
1,4360,"Exploratory Shoppers, Moderate Recency",This cluster consists of highly exploratory shoppers with a moderate recency and purchase span. They tend to buy from the United Kingdom. This group buys with lower frequency and fewer unique products. Their average interval between orders is also longer.
1,4361,"Long Intervals, High Average Orders","This segment represents customers with very long intervals between orders and a significant purchase span. They also tend to buy from the United Kingdom. This group buys with lower frequency and fewer unique products. Their recency is moderate, and they purchase at various points in the week."
1,4362,"High Frequency, High Item Buyers","This cluster is characterized by customers who purchase with high frequency, buying a large number of unique products and total items per order. They also have a significant monetary value. These customers tend to be from the 'United Kingdom' and have a long purchase span."
1,4363,"Long Intervals, Varied Purchasing Habits","This segment represents customers with a long average interval between orders and a significant purchase span. They tend to have a recent purchase history and buy from the United Kingdom. This group shows lower frequency and monetary value, with moderate total items and unique products."
1,4364,"High Frequency, High Item Buyers","This cluster is characterized by customers who purchase with high frequency, buying a large number of unique products and total items per order. They also have a high monetary value. These customers tend to buy in the 'Other' country category and have a high average order value."
1,4365,"Extended Purchase Span, Frequent Buyers","This cluster represents customers with an extended purchase span and higher frequency of orders. They also tend to buy from the United Kingdom. Their recency is moderate, and they have a longer average interval between orders. This group also shows more unique products per purchase and a wider purchase span."
1,4366,"High Unit Price, Exploratory Shoppers",This cluster represents customers with a very high average unit price and a highly exploratory purchasing behavior. They have a moderate order value and a recent purchase history. This group buys with lower frequency and fewer unique products. Their purchase span and intervals between orders are also longer.
