level,cluster_id,title,description
1,7043,"Two Year Contract, No Internet",Customers with two-year contracts are significantly more likely to have no internet service. This group also tends to have dependents. They are strongly associated with not using internet-related services.
1,7044,"Two Year Contract, No Internet, Auto Credit Card",This cluster comprises customers on two-year contracts who lack internet service. They frequently use automatic credit card payments. The absence of internet services is a defining characteristic.
1,7045,"Two Year Contract, No Internet, Auto Credit Card","These customers typically have two-year contracts and do not subscribe to internet service. Automatic credit card payments are common for this group. Notably, they are less likely to have dependents."
1,7046,"Two Year Contract, No Internet, Auto Bank Transfer",This segment primarily consists of customers with two-year contracts who do not have internet service. Automatic bank transfers are a prevalent payment method. A strong indicator is the absence of internet-based services.
1,7047,"Two Year Contract, Dependents, No Senior Citizens",Customers in this cluster often have two-year contracts and dependents. They are significantly less likely to be senior citizens. The defining feature is the absence of internet service.
1,7048,"Two Year Contract, No Internet, Mailed Check","This group features customers with two-year contracts and dependents, who do not have internet service. They frequently opt for mailing a check as their payment method. The lack of internet connectivity is a key trait."
1,7049,"One Year Contract, No Internet, Mailed Check","Customers with one-year contracts and no internet service are prevalent here. They often pay by mailing a check. Notably, these customers are less likely to have phone service."
1,7050,"Two Year Contract, No Internet, Mailed Check","This cluster includes customers with two-year contracts and no internet service, who prefer to pay by mail. They are also characterized by not having dependents. The absence of internet services is a strong commonality."
1,7051,"No Internet, Mailed Check, No Female Customers","This group primarily consists of customers without internet service, who pay by mailing a check. Interestingly, no female customers are represented in this cluster. The lack of internet is a significant factor."
1,7052,"Churned, Competitor Offer, No Internet","Customers in this cluster have churned, with a competitor's better offer being a primary reason. They do not have internet service. These customers are highly likely to have churned and represent high churn value."
1,7053,"Female, No Internet, Mailed Check","This cluster is characterized by female customers without internet service, who pay by mailing a check. The attitude of the support person is a notable churn reason for this group. The absence of internet is a defining trait."
1,7054,"Female, One Year Contract, No Internet","Female customers, particularly those on one-year contracts and without internet service, are grouped here. They are more likely to be female and less likely to be male. The lack of internet service is a strong common factor."
1,7055,"One Year Contract, No Internet, No Dependents",Customers on one-year contracts without internet service and no dependents are represented here. They are significantly less likely to have dependents. The absence of internet is a key characteristic.
1,7056,"Churned, Senior Citizens, Limited Services","This cluster includes churned customers, with a significant portion being senior citizens. 'Limited range of services' is a prominent churn reason. These customers are not on two-year contracts and have not churned."
1,7057,"Churned, Long Distance Charges, No Internet","Customers in this segment have churned, citing 'Long distance charges' as a key reason. They do not have internet service. This group represents high churn value and are likely to have churned."
1,7058,"Churned, Attitude of Service Provider, Fiber Optic","This cluster comprises churned customers, with 'Attitude of service provider' being a primary churn reason. They often have fiber optic internet service. Streaming services are popular among these customers."
1,7059,"Churned, Attitude of Service Provider, No Phone Service","Customers in this group have churned, with the 'Attitude of service provider' cited as a main reason. They lack phone service. Notably, they are not on two-year contracts and have not churned."
